system,trial,fcr_pct,fcr_BLOCK,fcr_QUARANTINE,fcr_RATE_LIMIT,fcr_total_benign
proposed_dynamic_sdn,0,0.34,0,0,68,20000
proposed_dynamic_sdn,1,0.26,0,0,52,20000
proposed_dynamic_sdn,2,0.305,0,0,61,20000
proposed_dynamic_sdn,3,0.31,0,0,62,20000
proposed_dynamic_sdn,4,0.29,0,0,58,20000
proposed_dynamic_sdn,5,0.32,0,0,64,20000
proposed_dynamic_sdn,6,0.28,0,0,56,20000
proposed_dynamic_sdn,7,0.325,0,0,65,20000
proposed_dynamic_sdn,8,0.285,0,0,57,20000
proposed_dynamic_sdn,9,0.365,0,0,73,20000
traditional_firewall,0,12.045,2409,0,0,20000
traditional_firewall,1,12.41,2482,0,0,20000
traditional_firewall,2,11.85,2370,0,0,20000
traditional_firewall,3,12.03,2406,0,0,20000
traditional_firewall,4,11.84,2368,0,0,20000
traditional_firewall,5,11.935,2387,0,0,20000
traditional_firewall,6,11.715,2343,0,0,20000
traditional_firewall,7,11.895,2379,0,0,20000
traditional_firewall,8,12.37,2474,0,0,20000
traditional_firewall,9,12.185,2437,0,0,20000
ids_ips,0,7.33,1466,0,0,20000
ids_ips,1,7.645,1529,0,0,20000
ids_ips,2,7.47,1494,0,0,20000
ids_ips,3,7.38,1476,0,0,20000
ids_ips,4,7.16,1432,0,0,20000
ids_ips,5,7.335,1467,0,0,20000
ids_ips,6,7.635,1527,0,0,20000
ids_ips,7,7.545,1509,0,0,20000
ids_ips,8,7.355,1471,0,0,20000
ids_ips,9,7.75,1550,0,0,20000
static_sdn,0,0.375,75,0,0,20000
static_sdn,1,0.405,81,0,0,20000
static_sdn,2,0.335,67,0,0,20000
static_sdn,3,0.45,90,0,0,20000
static_sdn,4,0.415,83,0,0,20000
static_sdn,5,0.445,89,0,0,20000
static_sdn,6,0.38,76,0,0,20000
static_sdn,7,0.455,91,0,0,20000
static_sdn,8,0.385,77,0,0,20000
static_sdn,9,0.45,90,0,0,20000
