trial,tresp_s,tresp_std_s,tresp_n,tresp_BLOCK,tresp_RATE_LIMIT,tresp_QUARANTINE
0,2.2681239121883094,0.898495292837011,12512,2.0962036195973908,2.526474342468668,2.2568295311204194
1,2.26931270440067,0.9086306944523255,12527,2.0938306760283254,2.5376018048902846,2.262008928763056
2,2.2825104548286874,0.9069332250192047,12525,2.1050900630971996,2.5453197263911487,2.276908458198756
3,2.2837378261855434,0.9007042862181139,12505,2.1110960872055458,2.5406397588553395,2.269233888679649
4,2.2661672599692078,0.8950206623850682,12527,2.089846865744845,2.5299945032599345,2.26644034631826
5,2.265813268383729,0.9018821311238314,12519,2.0803193912574116,2.5475068181084675,2.2568761380705746
6,2.2520869431648496,0.8973169076677285,12467,2.0679801323823397,2.5248232936926445,2.268595404515338
7,2.2709431851966078,0.9014904486467439,12516,2.093971326944694,2.528883432950455,2.2747185904066214
8,2.273921361364539,0.8970491370903229,12520,2.089938847428771,2.5439348065546667,2.293450930047871
9,2.2751008891847224,0.9061621317773604,12518,2.0791993746996016,2.571783883125293,2.2769477988400313
