system,t_s,availability_pct_mean,under_attack
proposed_dynamic_sdn,0.0,98.33333333333333,False
proposed_dynamic_sdn,3.0,98.84615384615385,False
proposed_dynamic_sdn,6.0,98.46153846153847,False
proposed_dynamic_sdn,9.0,98.65384615384616,False
proposed_dynamic_sdn,12.0,98.46153846153847,False
proposed_dynamic_sdn,15.0,98.84615384615384,False
proposed_dynamic_sdn,18.0,98.26923076923077,False
proposed_dynamic_sdn,21.0,98.91025641025641,False
proposed_dynamic_sdn,24.0,98.78205128205128,False
proposed_dynamic_sdn,27.0,98.84615384615385,False
proposed_dynamic_sdn,30.0,98.78205128205128,False
proposed_dynamic_sdn,33.0,98.65384615384616,False
proposed_dynamic_sdn,36.0,98.71794871794872,False
proposed_dynamic_sdn,39.0,98.84615384615384,False
proposed_dynamic_sdn,42.0,98.58974358974359,False
proposed_dynamic_sdn,45.0,98.58974358974359,False
proposed_dynamic_sdn,48.0,98.14102564102564,False
proposed_dynamic_sdn,51.0,98.71794871794872,False
proposed_dynamic_sdn,54.0,98.52564102564102,False
proposed_dynamic_sdn,57.0,98.2051282051282,False
proposed_dynamic_sdn,60.0,97.43589743589743,True
proposed_dynamic_sdn,63.0,98.33333333333333,True
proposed_dynamic_sdn,66.0,97.94871794871794,True
proposed_dynamic_sdn,69.0,98.07692307692308,True
proposed_dynamic_sdn,72.0,97.94871794871796,True
proposed_dynamic_sdn,75.0,97.88461538461539,True
proposed_dynamic_sdn,78.0,97.6923076923077,True
proposed_dynamic_sdn,81.0,98.2051282051282,True
proposed_dynamic_sdn,84.0,97.82051282051282,True
proposed_dynamic_sdn,87.0,97.43589743589743,True
proposed_dynamic_sdn,90.0,97.6923076923077,True
proposed_dynamic_sdn,93.0,97.94871794871796,True
proposed_dynamic_sdn,96.0,98.07692307692308,True
proposed_dynamic_sdn,99.0,97.5,True
proposed_dynamic_sdn,102.0,97.94871794871796,True
proposed_dynamic_sdn,105.0,98.07692307692308,True
proposed_dynamic_sdn,108.0,97.6923076923077,True
proposed_dynamic_sdn,111.0,97.37179487179488,True
proposed_dynamic_sdn,114.0,98.2051282051282,True
proposed_dynamic_sdn,117.0,98.2051282051282,True
proposed_dynamic_sdn,120.0,98.33333333333333,True
proposed_dynamic_sdn,123.0,97.6923076923077,True
proposed_dynamic_sdn,126.0,98.01282051282051,True
proposed_dynamic_sdn,129.0,97.3076923076923,True
proposed_dynamic_sdn,132.0,98.01282051282051,True
proposed_dynamic_sdn,135.0,97.6923076923077,True
proposed_dynamic_sdn,138.0,98.2051282051282,True
proposed_dynamic_sdn,141.0,98.07692307692308,True
proposed_dynamic_sdn,144.0,97.3076923076923,True
proposed_dynamic_sdn,147.0,98.2051282051282,True
proposed_dynamic_sdn,150.0,97.94871794871794,True
proposed_dynamic_sdn,153.0,97.5,True
proposed_dynamic_sdn,156.0,97.88461538461539,True
proposed_dynamic_sdn,159.0,98.2051282051282,True
proposed_dynamic_sdn,162.0,97.6923076923077,True
proposed_dynamic_sdn,165.0,97.43589743589743,True
proposed_dynamic_sdn,168.0,97.82051282051282,True
proposed_dynamic_sdn,171.0,97.94871794871796,True
proposed_dynamic_sdn,174.0,97.75641025641026,True
proposed_dynamic_sdn,177.0,97.43589743589743,True
proposed_dynamic_sdn,180.0,98.46153846153847,False
proposed_dynamic_sdn,183.0,97.94871794871796,False
proposed_dynamic_sdn,186.0,98.71794871794872,False
proposed_dynamic_sdn,189.0,98.3974358974359,False
proposed_dynamic_sdn,192.0,98.71794871794872,False
proposed_dynamic_sdn,195.0,98.58974358974359,False
proposed_dynamic_sdn,198.0,98.91025641025641,False
proposed_dynamic_sdn,201.0,98.65384615384616,False
proposed_dynamic_sdn,204.0,98.71794871794872,False
proposed_dynamic_sdn,207.0,98.78205128205128,False
proposed_dynamic_sdn,210.0,98.84615384615385,False
proposed_dynamic_sdn,213.0,98.71794871794872,False
proposed_dynamic_sdn,216.0,99.03846153846155,False
proposed_dynamic_sdn,219.0,99.23076923076923,False
proposed_dynamic_sdn,222.0,98.71794871794872,False
proposed_dynamic_sdn,225.0,98.46153846153847,False
proposed_dynamic_sdn,228.0,98.71794871794872,False
proposed_dynamic_sdn,231.0,98.46153846153847,False
proposed_dynamic_sdn,234.0,98.58974358974359,False
proposed_dynamic_sdn,237.0,98.33333333333333,False
proposed_dynamic_sdn,240.0,98.52564102564102,False
proposed_dynamic_sdn,243.0,98.78205128205128,False
proposed_dynamic_sdn,246.0,98.46153846153847,False
proposed_dynamic_sdn,249.0,98.46153846153847,False
proposed_dynamic_sdn,252.0,98.65384615384616,False
proposed_dynamic_sdn,255.0,98.52564102564102,False
proposed_dynamic_sdn,258.0,98.01282051282051,False
proposed_dynamic_sdn,261.0,98.78205128205128,False
proposed_dynamic_sdn,264.0,98.78205128205128,False
proposed_dynamic_sdn,267.0,98.84615384615385,False
proposed_dynamic_sdn,270.0,98.65384615384616,False
proposed_dynamic_sdn,273.0,98.3974358974359,False
proposed_dynamic_sdn,276.0,99.1025641025641,False
proposed_dynamic_sdn,279.0,98.84615384615385,False
proposed_dynamic_sdn,282.0,98.78205128205128,False
proposed_dynamic_sdn,285.0,98.01282051282051,False
proposed_dynamic_sdn,288.0,98.97435897435898,False
proposed_dynamic_sdn,291.0,98.52564102564102,False
proposed_dynamic_sdn,294.0,98.91025641025641,False
proposed_dynamic_sdn,297.0,98.78205128205128,False
traditional_firewall,0.0,90.0,False
traditional_firewall,3.0,88.65384615384616,False
traditional_firewall,6.0,89.23076923076923,False
traditional_firewall,9.0,88.65384615384616,False
traditional_firewall,12.0,87.75641025641025,False
traditional_firewall,15.0,88.78205128205128,False
traditional_firewall,18.0,89.23076923076923,False
traditional_firewall,21.0,88.91025641025641,False
traditional_firewall,24.0,89.8076923076923,False
traditional_firewall,27.0,89.03846153846153,False
traditional_firewall,30.0,88.84615384615384,False
traditional_firewall,33.0,88.84615384615384,False
traditional_firewall,36.0,88.84615384615384,False
