system,trial,fcr_pct,fcr_BLOCK,fcr_QUARANTINE,fcr_RATE_LIMIT,fcr_total_benign
proposed_dynamic_sdn,0,1.15,0,0,230,20000
proposed_dynamic_sdn,1,1.025,0,0,205,20000
proposed_dynamic_sdn,2,1.08,0,0,216,20000
proposed_dynamic_sdn,3,1.05,0,0,210,20000
proposed_dynamic_sdn,4,1.22,0,0,244,20000
proposed_dynamic_sdn,5,1.125,0,0,225,20000
proposed_dynamic_sdn,6,1.135,0,0,227,20000
proposed_dynamic_sdn,7,1.22,0,0,244,20000
proposed_dynamic_sdn,8,1.135,0,0,227,20000
proposed_dynamic_sdn,9,1.025,0,0,205,20000
traditional_firewall,0,9.97,1994,0,0,20000
traditional_firewall,1,10.125,2025,0,0,20000
traditional_firewall,2,10.2,2040,0,0,20000
traditional_firewall,3,9.675,1935,0,0,20000
traditional_firewall,4,9.865,1973,0,0,20000
traditional_firewall,5,9.905,1981,0,0,20000
traditional_firewall,6,9.59,1918,0,0,20000
traditional_firewall,7,10.2,2040,0,0,20000
traditional_firewall,8,10.095,2019,0,0,20000
traditional_firewall,9,9.84,1968,0,0,20000
ids_ips,0,6.175,1235,0,0,20000
ids_ips,1,6.735,1347,0,0,20000
ids_ips,2,6.52,1304,0,0,20000
ids_ips,3,6.25,1250,0,0,20000
ids_ips,4,6.225,1245,0,0,20000
ids_ips,5,6.18,1236,0,0,20000
ids_ips,6,6.54,1308,0,0,20000
ids_ips,7,6.35,1270,0,0,20000
ids_ips,8,6.58,1316,0,0,20000
ids_ips,9,6.405,1281,0,0,20000
static_sdn,0,4.47,894,0,0,20000
static_sdn,1,4.445,889,0,0,20000
static_sdn,2,4.465,893,0,0,20000
static_sdn,3,4.355,871,0,0,20000
static_sdn,4,4.415,883,0,0,20000
static_sdn,5,4.195,839,0,0,20000
static_sdn,6,4.825,965,0,0,20000
static_sdn,7,4.435,887,0,0,20000
static_sdn,8,4.55,910,0,0,20000
static_sdn,9,4.44,888,0,0,20000
