trial,system,seed,cr_pct,tresp_s,fpr_pct,fcr_pct,na_pct,tresp_std_s,tresp_n,na_min_pct,n_flow_obs,n_attack_obs,n_benign_obs,n_rules_total,peak_concurrent_rules,controller_load_final,moop_utility
0,proposed_dynamic_sdn,42,96.54320987654322,2.2681239121883094,1.15,1.15,98.28846153846153,0.898495292837011,12512,94.23076923076923,32960,12960,20000,2831,75,0.5865,0.520649762583096
1,proposed_dynamic_sdn,43,96.65895061728395,2.26931270440067,1.025,1.025,98.4423076923077,0.9086306944523255,12527,96.15384615384616,32960,12960,20000,2777,74,0.58196,0.5222494178537512
2,proposed_dynamic_sdn,44,96.64351851851852,2.2825104548286874,1.08,1.08,98.37179487179488,0.9069332250192047,12525,95.51282051282051,32960,12960,20000,2802,74,0.58196,0.5218816638176639
3,proposed_dynamic_sdn,45,96.4891975308642,2.2837378261855434,1.05,1.05,98.41025641025641,0.9007042862181139,12505,96.15384615384616,32960,12960,20000,2804,72,0.5728800000000001,0.5223393029439697
4,proposed_dynamic_sdn,46,96.65895061728395,2.2661672599692078,1.22,1.22,98.19871794871796,0.8950206623850682,12527,95.51282051282051,32960,12960,20000,2841,72,0.5728800000000001,0.5220852383665717
5,proposed_dynamic_sdn,47,96.59722222222223,2.265813268383729,1.125,1.125,98.28846153846153,0.9018821311238314,12519,95.51282051282051,32960,12960,20000,2840,74,0.58196,0.5213948119658119
6,proposed_dynamic_sdn,48,96.19598765432099,2.2520869431648496,1.135,1.135,98.26923076923077,0.8973169076677285,12467,96.15384615384616,32960,12960,20000,2797,73,0.57742,0.5201754121557456
7,proposed_dynamic_sdn,49,96.57407407407408,2.2709431851966078,1.22,1.22,98.17948717948718,0.9014904486467439,12516,94.87179487179488,32960,12960,20000,2832,74,0.58196,0.5207992706552708
8,proposed_dynamic_sdn,50,96.60493827160494,2.273921361364539,1.135,1.135,98.2948717948718,0.8970491370903229,12520,94.87179487179488,32960,12960,20000,2876,74,0.58196,0.5214084966761633
9,proposed_dynamic_sdn,51,96.5895061728395,2.2751008891847224,1.025,1.025,98.4551282051282,0.9061621317773604,12518,95.51282051282051,32960,12960,20000,2809,75,0.5865,0.5215432811016145
